year,county_fips,state,county_name,Democrat,Republican,total,majority,percentage,d_percentage,r_percentage,sample
2000,1001,ALABAMA,AUTAUGA,4942,11993,16935,Republican,0.708178329,0.291821671,0.708178329,0.028185662
2000,1003,ALABAMA,BALDWIN,13997,40872,54869,Republican,0.744901493,0.255098507,0.744901493,0.704609708
2000,1005,ALABAMA,BARBOUR,5188,5096,10284,Democrat,0.504472968,0.504472968,0.495527032,0.813434693
2000,1007,ALABAMA,BIBB,2710,4273,6983,Republican,0.61191465,0.38808535,0.61191465,0.405926686
2000,1009,ALABAMA,BLOUNT,4977,12667,17644,Republican,0.717921106,0.282078894,0.717921106,0.706653924
2000,1011,ALABAMA,BULLOCK,3395,1433,4828,Democrat,0.703189727,0.703189727,0.296810273,0.303351086
2000,1013,ALABAMA,BUTLER,3606,4127,7733,Republican,0.533686797,0.466313203,0.533686797,0.233733333
2000,1015,ALABAMA,CALHOUN,15781,22306,38087,Republican,0.585659149,0.414340851,0.585659149,0.603108849
2000,1017,ALABAMA,CHAMBERS,5616,6037,11653,Republican,0.518064018,0.481935982,0.518064018,0.042991653
2000,1019,ALABAMA,CHEROKEE,3497,4154,7651,Republican,0.542935564,0.457064436,0.542935564,0.653515684
2000,1021,ALABAMA,CHILTON,4806,10066,14872,Republican,0.676842388,0.323157612,0.676842388,0.099191879
2000,1023,ALABAMA,CHOCTAW,3707,3600,7307,Democrat,0.507321746,0.507321746,0.492678254,0.346057595
2000,1025,ALABAMA,CLARKE,4679,5988,10667,Republican,0.561357458,0.438642542,0.561357458,0.533416696
2000,1027,ALABAMA,CLAY,2045,3719,5764,Republican,0.645211659,0.354788341,0.645211659,0.380286477
2000,1029,ALABAMA,CLEBURNE,1664,3333,4997,Republican,0.6670002,0.3329998,0.6670002,0.66257052
2000,1031,ALABAMA,COFFEE,5220,9938,15158,Republican,0.655627391,0.344372609,0.655627391,0.004261253
2000,1033,ALABAMA,COLBERT,10543,10518,21061,Democrat,0.500593514,0.500593514,0.499406486,0.564104926
2000,1035,ALABAMA,CONECUH,2783,2699,5482,Democrat,0.507661437,0.507661437,0.492338563,0.877519544
2000,1037,ALABAMA,COOSA,2104,2382,4486,Republican,0.530985288,0.469014712,0.530985288,0.865344533
2000,1039,ALABAMA,COVINGTON,4440,8961,13401,Republican,0.668681442,0.331318558,0.668681442,0.934615482
2000,1041,ALABAMA,CRENSHAW,1934,2793,4727,Republican,0.590861011,0.409138989,0.590861011,0.879555498
2000,1043,ALABAMA,CULLMAN,9758,19157,28915,Republican,0.6625281,0.3374719,0.6625281,0.897645924
2000,1045,ALABAMA,DALE,4906,10593,15499,Republican,0.683463449,0.316536551,0.683463449,0.476337172
2000,1047,ALABAMA,DALLAS,10967,7360,18327,Democrat,0.598406722,0.598406722,0.401593278,0.134571847
2000,1049,ALABAMA,DEKALB,7056,12827,19883,Republican,0.645123975,0.354876025,0.645123975,0.48799277
2000,1051,ALABAMA,ELMORE,6652,16777,23429,Republican,0.716078364,0.283921636,0.716078364,0.551402348
2000,1053,ALABAMA,ESCAMBIA,4523,6975,11498,Republican,0.60662724,0.39337276,0.60662724,0.279177416
2000,1055,ALABAMA,ETOWAH,17433,21087,38520,Republican,0.547429907,0.452570093,0.547429907,0.617916211
2000,1057,ALABAMA,FAYETTE,3064,4582,7646,Republican,0.599267591,0.400732409,0.599267591,0.046070984
2000,1059,ALABAMA,FRANKLIN,4793,6119,10912,Republican,0.560758798,0.439241202,0.560758798,0.927022509
2000,1061,ALABAMA,GENEVA,2769,6588,9357,Republican,0.704071818,0.295928182,0.704071818,0.298713674
2000,1063,ALABAMA,GREENE,3504,850,4354,Democrat,0.804777216,0.804777216,0.195222784,0.543150029
