year,county_fips,state,county_name,Democrat,Republican,total,majority,percentage,d_percentage,r_percentage,sample
2012,25007,MASSACHUSETTS,DUKES,7978,2792,10770,Democrat,0.740761374,0.740761374,0.259238626,0.999931075
2000,40077,OKLAHOMA,LATIMER,1865,1739,3604,Democrat,0.517480577,0.517480577,0.482519423,0.999904688
2008,29159,MISSOURI,PETTIS,6932,11018,17950,Republican,0.613816156,0.386183844,0.613816156,0.999898148
2016,48171,TEXAS,GILLESPIE,2288,10446,12734,Republican,0.820323543,0.179676457,0.820323543,0.99982597
2016,16015,IDAHO,BOISE,777,2673,3450,Republican,0.774782609,0.225217391,0.774782609,0.999811724
2008,55123,WISCONSIN,VERNON,8463,5367,13830,Democrat,0.611930586,0.611930586,0.388069414,0.999669995
2004,18023,INDIANA,CLINTON,3335,8471,11806,Republican,0.717516517,0.282483483,0.717516517,0.999588359
2008,39175,OHIO,WYANDOT,4461,6270,10731,Republican,0.58428851,0.41571149,0.58428851,0.999354411
2012,51007,VIRGINIA,AMELIA,2490,4331,6821,Republican,0.634950887,0.365049113,0.634950887,0.999335185
2008,1131,ALABAMA,WILCOX,4612,1868,6480,Democrat,0.711728395,0.711728395,0.288271605,0.999321662
2008,46047,SOUTH DAKOTA,FALL RIVER,1338,2348,3686,Republican,0.637004883,0.362995117,0.637004883,0.999274846
2008,12101,FLORIDA,PASCO,102417,110104,212521,Republican,0.518085272,0.481914728,0.518085272,0.999218536
2008,44009,RHODE ISLAND,WASHINGTON,39082,25624,64706,Democrat,0.603993447,0.603993447,0.396006553,0.999136766
2008,13273,GEORGIA,TERRELL,2501,1890,4391,Democrat,0.569574129,0.569574129,0.430425871,0.999037815
2000,48077,TEXAS,CLAY,1460,3112,4572,Republican,0.680664917,0.319335083,0.680664917,0.999020155
2012,51760,VIRGINIA,RICHMOND,75921,20050,95971,Democrat,0.791082723,0.791082723,0.208917277,0.998939142
2008,31079,NEBRASKA,HALL,7855,12977,20832,Republican,0.622935868,0.377064132,0.622935868,0.998921629
2008,5005,ARKANSAS,BAXTER,6539,12852,19391,Republican,0.662781703,0.337218297,0.662781703,0.998882174
2008,29155,MISSOURI,PEMISCOT,3029,3954,6983,Republican,0.566232278,0.433767722,0.566232278,0.99874465
2000,47027,TENNESSEE,CLAY,1931,1468,3399,Democrat,0.568108267,0.568108267,0.431891733,0.998688746
2008,33009,NEW HAMPSHIRE,GRAFTON,31446,17687,49133,Democrat,0.640017911,0.640017911,0.359982089,0.998650866
2016,29153,MISSOURI,OZARK,724,3639,4363,Republican,0.834059134,0.165940866,0.834059134,0.99863108
2016,12087,FLORIDA,MONROE,18971,21904,40875,Republican,0.535877676,0.464122324,0.535877676,0.998624097
2012,36055,NEW YORK,MONROE,185916,114434,300350,Democrat,0.618997836,0.618997836,0.381002164,0.998564608
2004,36109,NEW YORK,TOMPKINS,25659,13539,39198,Democrat,0.654599724,0.654599724,0.345400276,0.998512122
2008,19055,IOWA,DELAWARE,4649,4113,8762,Democrat,0.530586624,0.530586624,0.469413376,0.998445492
2004,20129,KANSAS,MORTON,276,1287,1563,Republican,0.823416507,0.176583493,0.823416507,0.998435576
2016,30045,MONTANA,JUDITH BASIN,235,872,1107,Republican,0.787714544,0.212285456,0.787714544,0.998423246
2000,24013,MARYLAND,CARROLL,20146,41742,61888,Republican,0.674476474,0.325523526,0.674476474,0.998416822
2016,4019,ARIZONA,PIMA,224661,167428,392089,Democrat,0.572984705,0.572984705,0.427015295,0.998360066
2012,22127,LOUISIANA,WINN,1919,4541,6460,Republican,0.702941176,0.297058824,0.702941176,0.998356182
2004,29165,MISSOURI,PLATTE,18412,23302,41714,Republican,0.558613415,0.441386585,0.558613415,0.998327241
2004,13247,GEORGIA,ROCKDALE,12136,18856,30992,Republican,0.608415075,0.391584925,0.608415075,0.998303342
2004,36091,NEW YORK,SARATOGA,47367,53709,101076,Republican,0.531372433,0.468627567,0.531372433,0.998297147
2016,38105,NORTH DAKOTA,WILLIAMS,1735,10069,11804,Republican,0.853015927,0.146984073,0.853015927,0.9982623
2016,55085,WISCONSIN,ONEIDA,8104,12117,20221,Republican,0.599228525,0.400771475,0.599228525,0.998193974
2016,26003,MICHIGAN,ALGER,1663,2585,4248,Republican,0.608521657,0.391478343,0.608521657,0.998013028
2004,51510,VIRGINIA,ALEXANDRIA,41116,19844,60960,Democrat,0.674475066,0.674475066,0.325524934,0.997986933
2016,38053,NORTH DAKOTA,MCKENZIE,698,3670,4368,Republican,0.840201465,0.159798535,0.840201465,0.997827309
